metabolite,super_pathway,sub_pathway,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,0.00326382,0.00350328,0.00280708,0.00212192,0.00419442,0.00166783,0.0035153,0.00420116,0.00493648,0.00252353,0.00169474,0.00470524,0.00210283,0.00373774,0.00133032,0.00350762,0.00195937,0.0030825,0.00175462,0.00181241,0.0018601,0.00357464,0.00187057,0.00119063,0.00311221,0.00301321,0.00319406,0.00200147,0.00304135,0.00114582
"1,2-dioleoyl-GPC (18:1/18:1)",Lipid,Phosphatidylcholine (PC),0.00528509,0.00499862,0.01226084,0.00264279,0.00386619,0.00516661,0.00238185,0.0193133,0.00704355,0.00565829,0.00377197,0.01079806,0.01642914,0.00391194,0.00224549,0.00217512,0.0031784,0.01738601,0.00741692,0.00149551,0.00193507,0.00274665,0.00197562,0.00118035,0.01813662,0.00333739,0.00531179,0.0218482,0.015486,0.01723666
"1,2-dioleoyl-GPE (18:1/18:1)",Lipid,Phosphatidylethanolamine (PE),0.00345025,0.00311551,0.00590765,0.00221947,0.00259421,0.00452671,0.00203748,0.00638503,0.00341657,0.00394084,0.00313308,0.00477294,0.0065012,0.00340787,0.00233112,0.00240888,0.00302049,0.00680523,0.00579945,0.00157675,0.00239843,0.00267705,0.00206583,0.0015247,0.00695954,0.00430781,0.00517108,0.00823211,0.00709843,0.00692785
"1,2-dioleoyl-GPI (18:1/18:1)",Lipid,Phosphatidylinositol (PI),0.00391454,0.0052868,0.00409932,0.00416107,0.00508597,0.00547285,0.00575016,0.0053145,0.0042421,0.00564772,0.00598991,0.00654883,0.00333859,0.0056137,0.00311915,0.00454959,0.00543912,0.00458442,0.00411875,0.00279871,0.00311458,0.0036163,0.00310299,0.00253121,0.00315762,0.00041271,0.00438161,0.00321533,0.0034959,0.00291258
"1,2-dipalmitoleoyl-GPC (16:1/16:1)*",Lipid,Phosphatidylcholine (PC),0.0055906,0.00316376,0.01144579,0.00310099,0.00293018,0.00514802,0.0024902,0.01755225,0.0066305,0.00455637,0.00261507,0.00673278,0.02025322,0.00405303,0.00279148,0.00305793,0.0041337,0.01491183,0.00544402,0.00193412,0.0019036,0.00227441,0.00230348,0.00131437,0.01578699,0.0075115,0.00441976,0.01874919,0.01094941,0.01288342
"1,2-dipalmitoleoyl-GPE (16:1/16:1)*",Lipid,Phosphatidylethanolamine (PE),0.00351983,0.00247054,0.00570024,0.00234777,0.00220141,0.00375158,0.00168604,0.0072744,0.00303868,0.0032498,0.00237991,0.00405386,0.00870247,0.00263108,0.00183072,0.00205824,0.00264598,0.0077415,0.00560485,0.00152709,0.00178257,0.00249469,0.00215181,0.00113225,0.00949391,0.007053,0.00421093,0.01112431,0.00813388,0.00877031
"1,2-dipalmitoleoyl-GPI (16:1/16:1)*",Lipid,Phosphatidylinositol (PI),0.00359342,0.0036653,0.00405187,0.00339188,0.00336088,0.00464986,0.00405564,0.00437767,0.0031926,0.00506663,0.00428242,0.00512902,0.0026073,0.00338738,0.00235558,0.00261528,0.00285432,0.00347894,0.00400845,0.00226164,0.00257446,0.00269701,0.0021736,0.00201601,0.0017619,0.00394394,0.00224679,0.00207535,0.00195849,0.00196734
"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),0.0027148,0.00353604,0.0082409,0.01307561,0.00178579,0.00247782,0.00123803,0.00134569,0.00286429,0.0026644,0.00124095,0.00310229,0.01232644,0.00103572,0.00097411,0.00108922,0.00108634,0.00286076,0.0035306,0.00075436,0.00142463,0.0006556,0.00079558,0.00543929,0.00048117,0.00439176,0.00308159,0.00185732,0.00050854,0.00388697
1-linoleoyl-GPA (18:2)*,Lipid,Lysophospholipid,0.0005914,0.00058698,0.00040327,0.00078397,0.00051266,0.0006162,0.00062467,0.00041134,0.00038221,0.00051887,0.00062614,0.00054084,0.00384467,0.00052259,0.0004915,0.00054958,0.00054813,0.00151034,0.00038286,0.00038062,0.00033927,0.0003308,0.00040142,0.00043989,0.00423951,0.00040477,0.00032847,0.00026548,0.0004323,0.00021588
1-methyladenine,Nucleotide,Purine Metabolism_ Adenine containing,0.00377226,0.00180255,0.00348042,0.0023253,0.00426402,0.00182769,0.00309744,0.00168102,0.00208718,0.00265971,0.00288659,0.00160417,0.00248376,0.00155003,0.00365513,0.00434029,0.00162578,0.00114146,0.00264651,0.00511374,0.0030414,0.00414068,0.00251629,0.00351119,0.00423146,0.00309349,0.00483592,0.00447583,0.0057013,0.00410269
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),0.00443011,0.00365335,0.00790606,0.00246838,0.00266574,0.00231796,0.00196681,0.00238148,0.00209669,0.0016337,0.00197145,0.00329154,0.00217843,0.00164541,0.00154753,0.00173039,0.00172582,0.0012117,0.00155684,0.00119842,0.00106821,0.00104153,0.0012639,0.00138504,0.00076441,0.01194935,0.00103422,0.00083586,0.00080789,0.00081761
1-myristoylglycerol (14:0),Lipid,Monoacylglycerol,0.00255513,0.00253605,0.00174234,0.00761147,0.00358357,0.00266231,0.00481316,0.00177719,0.00165136,0.00544737,0.00383572,0.00233671,0.00428641,0.00361202,0.00297978,0.00369579,0.00520267,0.00166271,0.00165414,0.0036188,0.00369308,0.00280827,0.00530626,0.00478807,0.00234084,0.00254189,0.00141917,0.0012555,0.00164597,0.00261921
1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,0.00045849,0.00045506,0.00297344,0.00060778,0.00039744,0.00047772,0.00048428,0.00302361,0.00076933,0.00040226,0.00048543,0.00376672,0.00719163,0.00040515,0.00038104,0.00042607,0.00042494,0.00029835,0.00029682,0.00029508,0.00026302,0.00025645,0.00031121,0.00034103,0.00458556,0.00268445,0.0006074,0.00210478,0.00204634,0.00152711
1-oleoyl-GPE (18:1),Lipid,Lysophospholipid,0.00376379,0.00442669,0.00479424,0.0004919,0.00297812,0.00376134,0.00154943,0.00863095,0.00376996,0.00241866,0.00217261,0.01102484,0.0045631,0.00433166,0.00073874,0.00067351,0.00283324,0.00180347,0.00226452,0.00023882,0.00083231,0.00048746,0.00066843,0.00027601,0.00634307,0.01777308,0.00269689,0.00242531,0.00567228,0.0016935
1-oleoyl-GPI (18:1)*,Lipid,Lysophospholipid,0.0070905,0.01158864,0.00605758,0.00152655,0.01070547,0.00691437,0.00895548,0.01341685,0.00887506,0.00450902,0.00684413,0.01987693,0.00206905,0.01009237,0.00291751,0.00288717,0.00506461,0.00044376,0.0021216,0.00112121,0.00278196,0.00186652,0.0034923,0.0010732,0.00148855,0.00712901,0.00308729,0.00042944,0.0030309,0.00060091
1-oleoyl-GPS (18:1),Lipid,Lysophospholipid,0.00450638,0.00577152,0.00533833,0.00128356,0.00431737,0.00249408,0.00309555,0.01441355,0.00719978,0.00345289,0.00328843,0.01776496,0.00484944,0.00515102,0.00112423,0.00089981,0.00188745,0.00063008,0.00177194,0.00062318,0.00124373,0.0007287,0.00137773,0.00072022,0.00346503,0.01126069,0.00305534,0.00064226,0.00260519,0.00059945
